,n_uhc,n_upc,year,yweight,resid,region,age,sex,ppinc_1,nummonth,educat,healthev,weight,height,sport,smoker,htype,hsize,ch0_5,ch6_12,ch13_17,elder,inc_1,inc_2,inc_3,inc_4,inc_5,inc_6,inc_7,inc_8,inc_9,inc_10,inc_11,cashinc,inkind,privlg,totalinc,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_6_1,exp_6_2,exp_7,exp_8,exp_9,exp_10,exp_11,exp_12,exp_13,exp_14,exp_15,exp_16,exp_17,exp_17_1,exp_18,exp_19,exp_20,exp_21,exp_22,exp_23,exp_24,exp_25,exp_26,totalexp,hh_blint,hh_int1,hh_int2,hh_int3,hh_int4,bmi,savings
4848,2653.0,1.0,2017.0,1095,Rural,Gomel oblast,50.0,Female,243.08333333333331,11.0,Secondary education,"Not very good, but not bad",60.0,164.0,No,Yes,Lone person (no pensioner),1.0,0.0,0.0,0.0,0.0,243.08333333333331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.08333333333331,41.65620416666667,0.0,284.7395375,19.165416666666665,27.25833333333333,10.653333333333332,6.833333333333333,0.0,43.461666666666666,16.083333333333332,17.220000000000002,5.440833333333334,81.58333333333333,5.2825,3.875,0.0,0.0,20.2875,7.3125,0.0,0.0,0.0,0.0,7.806666666666666,0.6583333333333333,32.641666666666666,0.0,0.0,7.4175,21.974999999999998,7.5,0.0,309.1529166666666,1.0,1.0,1.0,1.0,1.0,22.308149910767405,-24.41337916666663
2972,1653.0,1.0,2017.0,770,Rural,Vitebsk oblast,85.0,Female,0.0,0.0,Basic education,Bad,75.0,170.0,No,No,Lone adult older working age,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,398.5975,0.0,0.0,0.0,8.333333333333334,0.0,0.0,0.0,406.93083333333334,55.71198541666666,0.0,462.64281874999995,156.24624999999997,3.629166666666667,25.25,14.0,0.0,41.72416666666667,16.0,9.8825,26.197499999999998,0.0,43.78333333333333,0.39999999999999997,0.0,0.0,6.089166666666667,25.188333333333333,0.0,0.0,0.0,0.0,3.77,0.0,7.5,16.666666666666668,0.0,0.0,0.0,52.5,0.0,422.9445833333333,1.0,1.0,1.0,1.0,1.0,25.95155709342561,39.69823541666665
5787,3174.0,1.0,2017.0,415,Small city,Grodno oblast,57.0,Male,557.5691666666667,12.0,Secondary education,"Not very good, but not bad",85.0,168.0,"Yes, in free time",Yes,Household without children,2.0,0.0,0.0,0.0,1.0,557.5691666666667,0.0,0.0,233.66666666666669,0.0,0.0,0.0,16.666666666666668,0.0,0.0,0.0,807.9024999999999,141.35109666666668,0.0,949.2535966666667,232.89791666666662,40.74583333333334,25.849999999999998,18.0,0.0,69.40333333333334,6.666666666666667,22.903333333333332,50.6525,57.083333333333336,17.8,2.723333333333333,2.879166666666667,0.0,45.985,11.645833333333332,0.0,0.0,0.0,0.0,15.779166666666665,10.808333333333334,3.916666666666667,66.66666666666666,20.0,0.0,0.0,63.33333333333334,0.0,756.1704166666666,1.0,1.0,1.0,1.0,1.0,30.116213151927443,193.08318000000008
5057,2756.0,2.0,2017.0,455,Rural,Gomel oblast,56.0,Female,0.0,0.0,Secondary education,"Not very good, but not bad",71.0,161.0,No,No,Household without children,2.0,0.0,0.0,0.0,1.0,339.4166666666667,0.0,0.0,401.5866666666667,0.0,68.27499999999999,0.0,0.0,0.0,0.0,41.88333333333333,851.1616666666666,213.95318041666667,2.315,1067.4298470833335,288.5995833333334,12.339166666666664,29.7,19.5,0.0,45.67083333333333,0.0,36.57083333333333,36.520833333333336,0.0,12.569166666666666,9.370833333333334,3.5,0.0,22.210833333333333,14.208333333333332,0.0,0.0,62.5,62.5,10.751666666666665,32.5,48.30416666666667,41.666666666666664,0.0,2.905,0.0,153.33333333333334,0.0,846.1504166666667,1.0,1.0,1.0,1.0,1.0,27.390918560240728,221.27943041666674
2604,1449.0,2.0,2017.0,530,Small city,Vitebsk oblast,76.0,Male,0.0,0.0,Secondary specialized education,"Not very good, but not bad",78.0,172.0,No,No,All adults older working age,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,655.9216666666666,0.0,0.0,0.0,50.0,0.0,0.0,41.666666666666664,747.5883333333334,32.271566666666665,0.4558333333333333,780.3157333333334,168.31458333333333,4.225,10.273333333333333,6.5,0.0,51.56166666666666,0.0,37.31,12.551666666666666,0.0,55.65,1.6666666666666667,3.3333333333333335,0.0,6.119166666666667,14.2575,0.0,0.0,66.66666666666667,66.66666666666667,10.336666666666666,15.907499999999999,7.083333333333334,50.0,69.25,0.0,0.0,208.0,41.666666666666664,803.36375,1.0,1.0,1.0,1.0,1.0,26.365603028664147,-23.048016666666626
1606,878.0,2.0,2017.0,406,Rural,Brest oblast,61.0,Male,0.0,0.0,Secondary education,"Not very good, but not bad",80.0,170.0,No,Yes,All adults older working age,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,464.56583333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,464.56583333333333,85.46510000000002,1.8599999999999999,551.8909333333335,200.9645833333333,33.53333333333333,9.033333333333333,5.916666666666666,0.0,21.936666666666667,0.0,21.936666666666667,7.270833333333334,0.0,1.25,6.645,0.0,0.0,13.105833333333333,11.499583333333335,0.0,0.0,0.0,0.0,9.008333333333333,5.123333333333333,55.901666666666664,50.0,31.27,0.0,0.0,0.0,0.0,462.4591666666667,1.0,1.0,1.0,1.0,1.0,27.68166089965398,89.43176666666676
1332,740.0,1.0,2017.0,443,Rural,Brest oblast,33.0,Female,253.67916666666665,10.0,"Higher education, After Higher education",Good,88.0,156.0,No,No,2 and more adults with children,3.0,1.0,0.0,0.0,0.0,798.7349999999999,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,803.7349999999999,23.33536875,0.0,827.07036875,60.940416666666664,0.0,90.69666666666666,19.005,0.0,77.405,0.0,75.74583333333334,77.46583333333331,81.66666666666667,42.939166666666665,46.32916666666666,0.5,0.0,38.095000000000006,44.556666666666665,0.0,28.9,15.666666666666666,0.0,14.928333333333333,23.233333333333334,3.4725,80.0,0.0,0.3666666666666667,0.0,28.5,0.0,774.6670833333333,1.0,1.0,1.0,1.0,1.0,36.160420775805385,52.40328541666668
7649,4252.0,1.0,2017.0,580,Minsk city,Minsk city,64.0,Female,0.0,0.0,Secondary education,"Not very good, but not bad",107.0,164.0,No,No,Lone adult older working age,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,352.0833333333333,0.0,0.0,0.0,30.0,0.0,0.0,0.0,382.0833333333333,23.051168750000002,10.393333333333334,415.5278354166666,248.52333333333328,0.0,7.3,0.0,0.0,41.469166666666666,0.0,41.469166666666666,8.3325,0.0,48.77083333333333,10.924166666666666,0.0,0.0,31.710833333333333,9.485000000000001,0.0,0.0,0.0,0.0,6.587499999999999,0.0,4.6875,0.0,0.0,5.341666666666666,0.0,15.0,0.0,438.13249999999994,1.0,1.0,1.0,1.0,1.0,39.782867340868535,-22.604664583333317
3803,2086.0,1.0,2017.0,482,Large city,Gomel oblast,57.0,Male,0.0,0.0,Secondary education,"Not very good, but not bad",79.0,176.0,No,Yes,Household without children,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.0,0.0,0.0,0.0,57.5,0.0,0.0,0.0,402.5,43.036265000000014,0.7875000000000001,446.32376500000004,93.89916666666666,68.4075,0.9375,13.333333333333332,0.0,70.6825,0.0,69.80416666666666,6.625,0.0,2.1291666666666664,11.484166666666667,0.0,0.0,12.967500000000001,0.875,0.0,0.0,0.0,0.0,1.5466666666666664,0.08333333333333333,5.42,0.0,0.0,2.0833333333333335,0.0,25.833333333333332,0.0,316.3075,1.0,1.0,1.0,1.0,1.0,25.50361570247934,130.01626500000003
7828,4361.0,1.0,2017.0,647,Minsk city,Minsk city,39.0,Female,419.9291666666666,12.0,Secondary specialized education,"Not very good, but not bad",60.0,160.0,No,Yes,Household without children,2.0,0.0,0.0,0.0,0.0,895.2625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.333333333333334,903.5958333333333,41.82544166666668,0.0,945.421275,422.6195833333333,63.55375000000001,5.591666666666667,6.925833333333333,0.0,94.28583333333333,0.0,75.2175,16.305833333333332,0.0,6.833333333333334,20.528333333333332,0.0,0.0,27.45,37.71291666666667,0.0,0.0,5.134999999999999,5.134999999999999,26.803333333333335,7.141666666666667,0.0,50.0,51.33333333333333,1.9166666666666667,0.0,86.66666666666667,0.0,930.8037499999999,1.0,1.0,1.0,1.0,1.0,23.437499999999996,14.617525000000114
